;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
01.06.2019;26;15;22;21;28;22;27;21;23;21;18;22;33;26;25;34;27;26;16;27;15;27;33;26
02.06.2019;20;26;27;21;26;17;24;24;20;28;20;22;28;27;22;22;30;33;15;30;20;30;22;22
03.06.2019;28;22;20;27;20;16;21;16;28;20;27;16;22;21;29;26;35;28;19;30;30;28;17;18
04.06.2019;18;16;19;22;24;26;22;23;20;19;19;28;28;25;27;34;26;25;23;25;17;21;17;22
05.06.2019;18;19;22;17;15;20;23;19;26;19;28;15;22;35;22;30;32;24;34;22;23;15;16;18
06.06.2019;18;25;21;21;20;26;17;16;28;19;15;15;27;29;24;24;30;35;35;28;30;22;24;20
07.06.2019;21;20;15;18;24;24;22;19;26;23;22;21;34;21;35;35;26;20;34;28;26;31;29;21
08.06.2019;22;21;17;28;28;21;20;28;17;23;28;24;34;34;22;33;23;33;17;30;22;30;24;23
09.06.2019;16;22;16;19;26;16;22;15;15;17;27;18;34;35;25;23;34;21;25;26;32;24;33;22
10.06.2019;26;17;23;21;20;27;18;20;19;24;24;24;25;33;29;33;35;22;30;33;17;17;35;17
11.06.2019;28;26;24;19;25;25;21;16;25;20;24;18;23;35;30;26;22;21;31;20;21;23;25;33
12.06.2019;18;24;20;20;28;25;17;22;24;22;18;21;33;26;23;21;30;25;35;21;30;29;28;21
13.06.2019;23;18;19;26;15;27;24;17;26;16;24;15;32;25;33;25;28;28;22;33;21;21;19;15
14.06.2019;19;24;17;25;22;22;16;20;26;24;24;15;32;34;27;25;23;22;25;31;33;35;33;35
15.06.2019;15;20;23;21;18;28;19;18;25;26;16;25;23;21;34;33;21;35;18;29;20;23;24;19
16.06.2019;27;25;24;15;15;26;24;22;19;16;20;23;28;27;32;25;31;21;23;19;31;18;21;18
17.06.2019;27;19;15;15;17;20;23;20;16;26;20;20;26;21;32;25;33;21;32;23;19;34;26;33
18.06.2019;15;21;27;22;19;23;20;27;28;21;25;19;24;35;29;25;25;33;32;30;29;24;16;23
19.06.2019;23;17;21;25;21;28;16;19;23;23;20;20;25;28;32;33;25;29;28;24;27;30;17;24
20.06.2019;18;24;27;20;17;17;25;19;16;23;16;17;35;30;30;22;26;28;17;23;26;30;20;23
21.06.2019;18;18;27;19;24;23;21;15;20;15;16;16;33;26;29;31;33;22;31;27;32;22;27;22
22.06.2019;27;24;28;16;22;28;26;26;27;24;18;21;27;33;34;24;23;34;17;35;18;26;21;33
23.06.2019;25;26;24;27;16;26;20;25;23;20;21;26;23;31;30;33;34;28;21;34;25;34;32;28
24.06.2019;16;26;20;21;25;18;17;23;22;20;16;24;34;28;31;30;21;34;25;35;22;31;18;16
25.06.2019;23;18;28;20;28;26;20;20;19;21;23;24;27;23;29;23;21;29;35;23;21;28;19;25
26.06.2019;23;25;16;22;17;17;23;28;26;27;25;16;25;30;27;21;33;35;26;21;29;16;20;26
27.06.2019;22;19;16;22;20;28;19;22;18;28;22;16;33;21;32;27;26;25;20;16;29;19;21;24
28.06.2019;23;23;24;18;18;22;22;21;21;25;17;26;32;22;34;24;21;26;26;25;24;29;28;29
29.06.2019;22;17;19;20;27;23;23;22;28;15;23;18;32;29;23;23;23;22;22;15;28;33;28;26
30.06.2019;21;26;19;19;27;21;22;28;27;27;28;16;29;27;27;22;29;30;15;17;33;30;19;30
01.07.2019;16;27;18;24;16;23;19;26;22;15;17;21;35;24;31;32;30;31;30;20;33;22;26;25
02.07.2019;20;22;16;16;26;18;28;26;28;17;19;18;26;33;21;23;32;20;27;30;23;29;27;25
03.07.2019;18;25;28;16;18;25;24;19;28;19;21;16;33;34;25;25;31;31;25;34;23;28;33;17
04.07.2019;25;21;27;26;19;21;21;25;26;18;25;21;29;22;28;31;26;34;29;32;20;29;34;23
05.07.2019;15;15;21;15;22;17;26;26;23;16;28;21;30;31;21;25;24;27;15;16;20;33;29;26
06.07.2019;27;23;24;20;28;26;24;15;23;28;15;22;26;20;28;21;24;24;27;18;34;32;27;25
07.07.2019;17;18;19;25;16;15;20;15;19;27;19;20;28;25;32;27;24;20;24;22;17;17;15;17
08.07.2019;22;18;16;18;19;20;27;27;22;19;28;21;30;28;24;27;25;20;23;23;16;24;20;18
